************************************************************************											
pyfao56: FAO-56 Evapotranspiration in Python											
Weather Data											
Timestamp: 05/08/2024 02:54:14											
************************************************************************											
 Data for the OK004 site from 2022-11-01 00:00:00 to 2023-01-01 00:00:00											
************************************************************************											
           S Reference crop - Short ('S') or Tall ('T')											
 338.9000000 Weather station elevation (z) (m)											
  35.0526000 Weather station latitude (decimal degrees)											
   2.0000000 Wind speed measurement height (m)											
											
Daily weather data:											
Year Day Srad Tmax Vapr Tdew RHmax RHmin Wndsp ETref MorP
2022 036 3355.3 6.4 4.15 -5.45288888888889 54.05 43.3 5.41933333333333 189.597288374742 M
2022 037 3422.8 8.6 5.45707692307692 -617.758615384615 77.68 53.8 2.44316666666667 188.542382922333 M
2022 038 4359.45 13.65 5.35 -1.67226666666667 91.6 35.22 2.92073333333333 187.476181796492 M
2022 039 4410.4 18.35 5.57307692307692 0.414615384615384 70.98 27.08 4.85838461538462 186.398936910481 M
2022 040 4142.83 19.65 4.4878 -0.592533333333334 97.2 16.1 2.8636 185.310910200845 M
2022 041 3917.8 17.08 6.41284615384615 1.92392307692308 65.6 32.3 3.30961538461538 184.212373616201 M
2022 042 4223.15 17.35 6.30033333333333 1.54846666666667 66.05 31.68 5.6982 183.103609089372 M
2022 043 4170.75 9.2 2.77446666666667 -10.3900666666667 59.18 32.28 4.49293333333333 181.984908497522 M
2022 044 4395.95 14.43 4.02307692307692 -3.73730769230769 65.2 25.18 2.90546153846154 180.856573598514 M
2022 045 4450.25 21.33 4.74230769230769 1.25361538461539 73.2 18 3.30623076923077 179.718915957532 M
2022 046 4351.2 21.28 8.44866666666667 5.72906666666666 61.05 31.65 9.12286666666667 178.572256852219 M
2022 047 2672.9 23.38 12.906 11.0114666666667 78.2 43.98 8.3304 177.416927161002 M
2022 048 1370.53 -1.675 4.10227272727273 -6.47181818181818 84.8 73.2 8.50509090909091 176.253267239161 M
2022 049 4095.7 9.52 4.08125 -4.938875 51.3 37.58 4.463625 175.081626774034 M
2022 050 4780.2 17.6 6.18928571428571 1.14392857142857 98.7 29.7 2.63307142857143 173.902364623822 M
2022 051 4248.85 21.2 6.31964285714286 3.26342857142857 53.55 25.63 8.22535714285714 172.71584864524 M
2022 052 2869.3 22.55 11.8157894736842 9.63410526315789 83.7 38.15 7.03652631578947 171.522455497839 M
2022 053 4791.8 16.75 4.92447368421053 -7.74463157894737 84.8 45.4 7.08763157894737 170.322570440233 M
2022 054 1003.3 -5.175 2.26388888888889 -902.973 79.55 37.5 6.139 169.116587106085 M
2022 056 4051.75 -1.2 2.81818181818182 -11.8352727272727 58 45.2 3.67681818181818 166.687940575086 M
2022 057 3301.4 2.55 4.40357142857143 -5.58978571428571 81.7 63.45 1.80928571428571 165.466104311236 M
2022 058 3874.6 13.28 4.26029411764706 -474.385058823529 85.8 25.63 1.76 164.239823090998 M
2022 059 4425.85 18.92 5.275 -0.306764705882356 96.6 26.05 2.42476470588235 163.009528579688 M
2022 060 5112.9 23.2 5.25718181818182 0.828863636363637 94.7 17.03 2.04631818181818 161.775659184006 M
2022 061 4847.3 24.25 5.73229166666667 1.6 99 16.95 1.6595 160.538659738238 M
2022 062 5130.55 25.9 6.61270833333333 3.44658333333333 98.9 18.22 1.83141666666667 159.298981174472 M
2022 063 3690.95 24.28 12.2066666666667 9.00641666666667 77.8 49.75 4.48579166666667 158.057080182086 M
2022 064 5050.35 26.68 12.0189583333333 11.0438333333333 87.2 14.5 7.243375 156.813418862452 M
2022 065 1153.15 11.78 5.73333333333333 -1.747875 90.4 46.8 5.632125 155.568464366417 M
2022 066 4815.3 4.375 4.47604166666667 -5.14120833333334 86.3 54.33 5.71329166666667 154.322688531 M
2022 067 2928.8 6.925 4.4 -5.15566666666667 88 40.38 1.49220833333333 153.076567502903 M
2022 068 5458.35 13 4.27916666666667 -4.54929166666667 95.8 31.85 1.9185 151.830581354822 M
2022 069 5160.5 9.55 5.14791666666667 -3.435625 87.2 55.38 4.5475 150.585213700598 M
2022 070 3156.55 2.675 3.74895833333333 -7.54291666666667 90.8 48.45 5.78629166666667 149.340951296794 M
2022 071 5694.7 13.62 3.45520833333333 -6.33691666666667 98.6 21.28 3.13920833333333 148.098283647299 M
2022 072 5761.9 19.65 3.34791666666667 -3.66733333333334 44.43 14.75 6.28379166666667 146.85770259857 M
2022 073 3274.45 19.17 8.37770833333333 4.39083333333333 82.2 31.05 6.111875 145.619701931613 M
2022 074 0 11.65 6.3 0.786 45.68 45.68 5.193 144.384776956196 M
